elapsed_s,phase,ac_status,battery_error,raw_rate,discharge_w,voltage_v,cpu_busy_percent,boost_error,boost,hwinfo_error,query_ms
33.012457,load,0,0,-7052,7.052000,15.918000,19.843342,0,4,2,0.930400
33.514436,load,0,0,-7052,7.052000,15.918000,17.146597,0,4,2,0.890200
34.003640,load,0,0,-7052,7.052000,15.918000,17.592593,0,4,2,1.071500
34.515006,load,0,0,-7981,7.981000,15.930000,17.219388,0,4,2,0.750400
35.002851,load,0,0,-7981,7.981000,15.930000,16.981132,0,4,2,1.135700
35.516207,load,0,0,-8830,8.830000,15.938000,16.919192,0,4,2,0.845800
36.003548,load,0,0,-8830,8.830000,15.938000,17.686170,0,4,2,0.756300
36.512710,load,0,0,-8830,8.830000,15.938000,17.490494,0,4,2,0.840000
37.001076,load,0,0,-10313,10.313000,15.940000,17.096336,0,4,2,0.887000
37.504831,load,0,0,-10313,10.313000,15.940000,16.581633,0,4,2,0.693200
38.010024,recovery,0,0,-10919,10.919000,15.940000,18.435013,0,4,2,0.685300
38.506873,recovery,0,0,-10919,10.919000,15.940000,1.681759,0,4,2,0.902600
39.006751,recovery,0,0,-10919,10.919000,15.940000,1.297017,0,0,2,0.916400
39.512247,recovery,0,0,-11297,11.297000,16.138000,1.012658,0,0,2,2.227200
40.014748,recovery,0,0,-11297,11.297000,16.138000,1.310616,0,0,2,1.301600
40.500836,recovery,0,0,-11297,11.297000,16.138000,1.756757,0,0,2,1.561000
41.007498,recovery,0,0,-10640,10.640000,16.145000,1.158301,0,0,2,2.051600
41.512744,recovery,0,0,-10640,10.640000,16.145000,1.020408,0,0,2,1.289300
42.013504,recovery,0,0,-10330,10.330000,16.141000,1.426719,0,0,2,2.111300
42.512615,recovery,0,0,-10330,10.330000,16.141000,1.566580,0,0,2,1.497400
43.015976,recovery,0,0,-10045,10.045000,16.150000,0.647668,0,0,2,2.064500
43.515629,recovery,0,0,-10045,10.045000,16.150000,2.222222,0,0,2,1.765600
44.000089,recovery,0,0,-10045,10.045000,16.150000,1.345895,0,0,2,1.379200
44.502099,recovery,0,0,-9740,9.740000,16.152000,1.040312,0,0,2,2.114400
45.008753,recovery,0,0,-9740,9.740000,16.152000,0.651890,0,0,2,1.421000
45.503468,recovery,0,0,-9470,9.470000,16.160000,0.776197,0,0,2,2.696200
46.007002,recovery,0,0,-9470,9.470000,16.160000,1.432292,0,0,2,1.156600
46.504328,recovery,0,0,-9196,9.196000,16.161000,1.181102,0,0,2,2.139100
47.007131,recovery,0,0,-9196,9.196000,16.161000,1.030928,0,0,2,1.330800
47.506002,recovery,0,0,-8952,8.952000,16.158000,0.949796,0,0,2,2.490800
48.007962,recovery,0,0,-8952,8.952000,16.158000,2.127660,0,0,2,1.285700
48.515732,recovery,0,0,-8716,8.716000,16.140000,1.403061,0,0,2,2.455900
49.002755,recovery,0,0,-8716,8.716000,16.140000,1.338688,0,0,2,1.480300
49.514765,recovery,0,0,-8716,8.716000,16.140000,1.390645,0,0,2,1.415900
50.002117,recovery,0,0,-8565,8.565000,16.160000,1.617251,0,0,2,3.192100
50.513425,recovery,0,0,-8565,8.565000,16.160000,3.307888,0,0,2,2.169300
51.014267,recovery,0,0,-8187,8.187000,16.148000,1.017812,0,0,2,2.777600
51.505042,recovery,0,0,-8187,8.187000,16.148000,1.079622,0,0,2,4.019500
52.007753,recovery,0,0,-8187,8.187000,16.148000,2.464332,0,0,2,1.989900
52.506570,recovery,0,0,-8007,8.007000,16.143000,1.827676,0,0,2,2.201200
53.012783,recovery,0,0,-8007,8.007000,16.143000,1.165803,0,0,2,1.613100
53.503824,recovery,0,0,-8007,8.007000,16.143000,1.808786,0,0,2,2.094400
54.008797,recovery,0,0,-7885,7.885000,16.158000,1.504788,0,0,2,1.943900
54.502984,recovery,0,0,-7885,7.885000,16.158000,1.882058,0,0,2,1.931900
55.006765,recovery,0,0,-7885,7.885000,16.158000,1.455026,0,0,2,1.267500
55.511314,recovery,0,0,-7659,7.659000,16.158000,1.401274,0,0,2,2.390400
56.015632,recovery,0,0,-7659,7.659000,16.158000,0.911458,0,0,2,2.485800
56.507091,recovery,0,0,-7659,7.659000,16.158000,1.443570,0,0,2,1.959400
57.011582,recovery,0,0,-7506,7.506000,16.142000,1.683938,0,0,2,2.301600
57.508267,recovery,0,0,-7506,7.506000,16.142000,0.788436,0,0,2,1.177700
58.008776,recovery,0,0,-7506,7.506000,16.142000,1.432292,0,0,2,1.470100
58.514037,recovery,0,0,-7255,7.255000,16.158000,2.451613,0,0,2,2.477100
59.000534,recovery,0,0,-7255,7.255000,16.158000,1.211306,0,0,2,1.493500
59.502001,recovery,0,0,-7255,7.255000,16.158000,0.910273,0,0,2,1.258200
60.007703,recovery,0,0,-7062,7.062000,16.161000,1.522843,0,0,2,1.706700
60.513812,recovery,0,0,-7062,7.062000,16.161000,2.024291,0,0,2,1.502000
61.000989,recovery,0,0,-7045,7.045000,16.122000,1.164295,0,0,2,2.135900
61.500419,recovery,0,0,-7045,7.045000,16.122000,1.162791,0,0,2,1.274000
62.004579,recovery,0,0,-7026,7.026000,16.152000,1.408451,0,0,2,2.452900
62.515525,recovery,0,0,-7026,7.026000,16.152000,4.010025,0,0,2,1.220900
63.006010,recovery,0,0,-6865,6.865000,16.152000,1.617251,0,0,2,2.292800
63.511021,recovery,0,0,-6865,6.865000,16.152000,1.813472,0,0,2,1.329200
64.000683,recovery,0,0,-6865,6.865000,16.152000,1.443570,0,0,2,1.526900
64.512560,recovery,0,0,-6772,6.772000,16.162000,2.040816,0,0,2,2.165000
65.001243,recovery,0,0,-6772,6.772000,16.162000,1.336898,0,0,2,1.543800
65.512728,recovery,0,0,-6690,6.690000,16.160000,1.528662,0,0,2,2.142300
66.015308,recovery,0,0,-6690,6.690000,16.160000,1.300390,0,0,2,1.583800
66.509522,recovery,0,0,-6690,6.690000,16.160000,1.591512,0,0,2,1.217700
67.013545,recovery,0,0,-6605,6.605000,16.149000,0.755668,0,0,2,2.752400
67.510710,recovery,0,0,-6605,6.605000,16.149000,1.208054,0,0,2,1.295500
68.014185,recovery,0,0,-6610,6.610000,16.161000,1.024328,0,0,2,2.089100
68.511215,recovery,0,0,-6610,6.610000,16.161000,1.604278,0,0,2,1.246300
69.001036,recovery,0,0,-6610,6.610000,16.161000,1.044386,0,0,2,1.358400
69.516372,recovery,0,0,-6449,6.449000,16.163000,1.264223,0,0,2,1.234200
70.004136,recovery,0,0,-6449,6.449000,16.163000,1.211306,0,0,2,1.283800
70.506075,recovery,0,0,-6369,6.369000,16.164000,0.909091,0,0,2,2.135200
71.010055,recovery,0,0,-6369,6.369000,16.164000,1.540436,0,0,2,1.392700
